"id","title","videoid","video_secret","download_size","website_url","activate","order","is_free","created_at","updated_at","subject_type_id","thumbnail_url","date_field","duration","pdflink"
1,English Wizard Introduction,"567502335",dad616ee4f,"{""360p"": ""47.88 MB"", ""1080p"": ""132.68 MB"", ""540p"": ""91.33 MB"", ""240p"": ""220.0 B"", ""720p"": ""104.56 MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/567502335?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""English Wizard Introduction""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,-1,1,"2021-07-10 09:59:39.209147","2023-08-29 08:33:52.340598",29,https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/uploads/English-Wizard.png,,"31:20",https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/documents/English_Wizard_Introduction.pdf
2,"Lecture - 01 (Part 1)

Topic:
Identifying Parts of Speech
(General Idea of Parts of Speech, Introduction to Noun)","570703559",English Wizard,"{""360p"": ""20.76 MB"", ""540p"": ""38.63 MB"",  ""720p"": ""45.65 MB"",""1080p"": ""63.03 MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/570703559?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Parts of Speech Part 1""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,-2,1,"2021-07-10 10:01:05.051006","2023-08-29 10:25:51.135750",29,https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/uploads/English-Wizard.png,,"12:02",https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/documents/Literature_-_1_Part-_01.pdf
3,"Lecture - 01 (Part 2)

Topic: 
Identifying Parts of Speech
(Introduction to Pronoun, Adjective & Verb)","570705372",English Wizard,"{""360p"": ""24.51 MB"", ""540p"": ""46.04 MB"",  ""720p"": ""53.25 MB"",""1080p"": ""72.08 MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/570705372?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""EW-Lecture001-Part-2""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,-3,1,"2021-07-10 10:02:20.708503","2023-08-29 10:26:03.302156",29,https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/uploads/English-Wizard.png,,"15:20",https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/documents/Literature_-_1_Part-_02.pdf
4,"Lecture - 01 (Part 3)

Topic: 
Identifying Parts of Speech
(Introduction to Adverb, Preposition, Conjunction & Interjection; Difference between Adjective & Adverb; Difference between Preposition & Conjunction)","572565368",English Wizard,"{""360p"": ""33.89MB"", ""540p"": ""63.25MB"",  ""720p"": ""74.84MB"",""1080p"": ""104.94MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/572565368?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""EW-Lecture001-Part-3.mp4""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,-4,1,"2021-07-12 07:41:32.639940","2023-08-29 10:44:54.070260",29,https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/uploads/English-Wizard.png,,"20:51",https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/documents/Literature_-_1_Part-_03.pdf
5,"Lecture - 01 (Part 4)

Topic: 
Identifying Parts of Speech
(More Rules for Identifying Parts of Speech: Function and Forms of Different Parts of Speech; Some Tips & Trics)","573277050",English Wizard,"{""360p"": ""24.51 MB"", ""540p"": ""78.74MB"",  ""720p"": ""92.89MB"",""1080p"": ""129.09MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/573277050?h=4a4bc151ac&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""EW-Lecture001-Part-4""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,-5,0,"2021-07-12 20:12:54.308713","2023-08-29 10:45:31.504744",29,https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/uploads/English-Wizard.png,,"23:25",https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/documents/05_Literature_-_1_Part-_04_-_5.pdf
6,"Lecture - 02 (Part-1)

Topic: 
Transformation of Positive-Comparative-Superlative
(Basics of Positive-Comparative-Superlative)","574855393",b58b46a70a,"{""360p"": ""20.99MB"", ""540p"": ""39.14MB"",  ""720p"": ""46.86MB"",""1080p"": ""66.36MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/574855393?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""EW-Lecture002-Part-1""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,-7,0,"2021-07-14 11:04:25.635614","2023-08-29 10:45:43.044870",29,https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/uploads/English-Wizard.png,,"11:27",https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/documents/07_Literature_-_2_Part-_01.pdf
7,"Lecture - 02 (Part-2)

Topic: 
Transformation of Positive-Comparative-Superlative.
(Rules of Transformation of Positive-Comparative-Superlative)","574852362",e2ac9647a6,"{""360p"": ""33.08MB"", ""540p"": ""62.67MB"",  ""720p"": ""70.15MB"",""1080p"": ""86.67MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/574852362?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""EW-Lecture002-Part-2-Final""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,-8,0,"2021-07-14 11:09:06.560355","2023-08-29 10:46:08.626008",29,https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/uploads/English-Wizard.png,,"23:20",https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/documents/08_Literature_-_2_Part-_02.pdf
8,"Lecture - 03

Topic:
Meaning of Most Common Words with their Parts of Speech","574864540",af21588d15,"{""360p"": ""25.65MB"", ""540p"": ""48.96MB"",  ""720p"": ""61.36MB"", ""1080p"": ""85.3MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/574864540?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""EW-Lecture003-Website""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,-10,0,"2021-07-14 11:26:17.649741","2023-08-29 10:46:18.767869",29,https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/uploads/English-Wizard.png,,"13:18",
9,"Lecture - 01 (Part 5)

Topic: 
Previous BCS Questions Analysis (Identifying Parts of Speech)","575764833",English Wizard,"{""360p"": ""19MB"", ""540p"": ""35.66MB"",  ""720p"": ""40.93MB"", ""1080p"": ""50.17MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/575764833?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""EW-Lecture004-Website""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,-6,0,"2021-07-16 11:05:38.349240","2023-08-29 10:46:28.449227",29,https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/uploads/English-Wizard.png,,"12:27",https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/documents/06_Literature_-_1_Part-_05_BCS_6.pdf
10,"Lecture - 02 (Part 3)

Topic: 
Previous BCS Questions Analysis (Transformation of Positive-Comparative-Superlative)","576343195",English Wizard,"{""360p"": ""17.58MB"", ""540p"": ""32.49MB"",  ""720p"": ""37.42MB"", ""1080p"": ""46.35MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/576343195?badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""EW-Lecture002-Part02-Website""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,-9,0,"2021-07-18 06:15:04.969033","2023-08-29 10:46:38.789103",29,https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/uploads/English-Wizard.png,,"10:44",https://elasticbeanstalk-ap-southeast-1-051040323559.s3.amazonaws.com/livemcq-files/media/documents/09_Literature_-_2_Part-_03.pdf
