video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link
663049794,sd,240p,video/mp4,426,240,240p,25,34011997,32.44MB,https://player.vimeo.com/progressive_redirect/playback/663049794/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=3f26084e9740fd02aed83ee322d3d53ea9569813fcb9418df8c8c8f6e79e95a9
663049794,hd,1080p,video/mp4,1920,1080,1080p,25,292183250,278.65MB,https://player.vimeo.com/progressive_redirect/playback/663049794/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=cc0bc68241cd9bd622a1a9645cfae69cef8a243131d2b272bae893286b844249
663049794,sd,540p,video/mp4,960,540,540p,25,180315708,171.96MB,https://player.vimeo.com/progressive_redirect/playback/663049794/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c6ecc943643d70177754e688085ee08076fc70d9364ba1f343a18c5690f17008
663049794,hd,720p,video/mp4,1280,720,720p,25,225591668,215.14MB,https://player.vimeo.com/progressive_redirect/playback/663049794/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=07d667960468bda09ae0e812efc19e86dca5e4c0ad7b015f44aac428744cab30
663049794,sd,360p,video/mp4,640,360,360p,25,95493865,91.07MB,https://player.vimeo.com/progressive_redirect/playback/663049794/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5e4ca4b708901911be70048cf431ac7985040892fc63d67352dc8b37e0a18ee1
663049794,hls,adaptive,video/mp4,,,240p,25,34011997,32.44MB,https://player.vimeo.com/external/663049794.m3u8?s=1adf64a97c768f017c717862f234e5913e566c93&oauth2_token_id=1643955558
663057470,sd,360p,video/mp4,576,320,360p,30,1948062,1.86MB,https://player.vimeo.com/progressive_redirect/playback/663057470/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=524c16ba4dc870a205a5229b214df02ba3fc5a8dd3bec7f4ff2b44b0e2940488
663057470,sd,240p,video/mp4,426,238,240p,30,808064,789.12KB,https://player.vimeo.com/progressive_redirect/playback/663057470/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=d988639a188fa9cbdf7ce6d2925bf5eba7543acb21a346b00b0e2a0ab80487f1
663057470,hls,adaptive,video/mp4,,,360p,30,1948062,1.86MB,https://player.vimeo.com/external/663057470.m3u8?s=1711ec792f54e143d6e01e587157d17e7d779e7c&oauth2_token_id=1643955558
665734491,hd,720p,video/mp4,1280,720,720p,25,287446728,274.13MB,https://player.vimeo.com/progressive_redirect/playback/665734491/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=1741be19a3892650b450b799e463fde00cf6355691f3673a8408389d4ac44498
