"id","title","videoid","video_secret","download_size","website_url","activate","order","is_free","created_at","updated_at","subject_type_id"
4,"Lecture 001
Lecture Topic: General Bacteriology part-1
Duration: 1:04:45","663049794","5efd892bcf","{""360p"": ""91.07MB"", ""540p"": ""171.96MB"", ""720p"": ""346.84MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/663049794?h=5efd892bcf&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""GEN BACT 311221""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,1,1,"2022-01-06 18:13:52.701645","2022-01-06 18:13:52.701686",60
5,"Lecture 002
Lecture Topic: General Bacteriology part-2
Duration: 1:32","663057470","11d6c0832c","{""360p"": ""1.86MB""}","<div style=""padding:55.56% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/663057470?h=11d6c0832c&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""General Bacteriology part-2""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,2,1,"2022-01-06 18:17:15.447018","2022-01-06 18:18:31.915217",60
9,"Lecture 003
Lecture Topic:  Systemic Bacteriology
Duration: 1:17:19","665734491",cf5715c07d,"{""360p"": ""115.42MB"", ""540p"": ""219.45MB"", ""720p"": ""274.13MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/665734491?h=cf5715c07d&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""systemic bacteriology lecture video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,3,0,"2022-01-13 18:58:40.969328","2022-01-13 18:59:10.063291",60
12,"Lecture 005
Lecture Topic: Immunology
Duration: 1:16:38","667373561","91f794b081","{""360p"": ""104.55MB"", ""540p"": ""197.8MB"", ""720p"": ""248.2MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/667373561?h=91f794b081&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Immunology video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,5,0,"2022-01-18 18:14:48.645258","2022-01-18 18:14:48.645307",60
21,"Lecture 006
Lecture Topic: Cell injury & Adaption part 1
Duration: 26:12","671687057","2bf9a15ab0","{""360p"": ""31.76MB"", ""540p"": ""59.72MB""}","<div style=""padding:45% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/671687057?h=2bf9a15ab0&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Cell injury &amp;amp; Adaption part 1""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,6,0,"2022-01-30 17:02:09.231841","2022-01-30 17:02:33.056909",60
22,"Lecture 007
Lecture Topic: Cell injury & Adaption part 2
Duration: 45:41","671689981","5de7ebe2fc","{""360p"": ""65.83MB"", ""540p"": ""127.7MB""}","<div style=""padding:45% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/671689981?h=5de7ebe2fc&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Cell Injury &amp;amp; Adaptation Part-2""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,7,0,"2022-01-30 17:10:44.605488","2022-01-30 17:10:44.605524",60
23,"Lecture 008
Lecture Topic: Inflammation
Duration: 48:13","671687890","3899e88c7b","{""360p"": ""65.83MB"", ""540p"": ""127.7MB""}","<div style=""padding:45% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/671687890?h=3899e88c7b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Inflammation""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,8,0,"2022-01-30 17:12:08.064186","2022-01-30 17:12:08.064228",60
26,"Lecture 009
Lecture Topic: Hemodynamics
Duration: 49:39","674400417",ffe49d9934,"{""360p"": ""61.02MB"", ""540p"": ""114.69MB"", ""720p"": ""149.37MB""}","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/674400417?h=ffe49d9934&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Hemodynamics""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,9,0,"2022-02-07 12:01:10.700720","2022-02-07 12:05:02.702015",60
34,"Lecture 001
Lecture Topic: Anatomy of female genital organs
Duration: 37:41","679172741","6b36711c5e","{""360p"": ""69.82MB"", ""540p"": ""143.94MB""}","<div style=""padding:222.22% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/679172741?h=6b36711c5e&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Anatomy of female genital organs""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,1,1,"2022-02-18 15:27:37.686486","2022-02-25 11:21:59.535925",41
35,"Lecture 001
Lecture Topic: Neonatology,Growth&Development&Vaccination
Duration: 51:55","679178673","3b4cb7b97e","{""360p"": ""86.76MB"", ""540p"": ""169.7MB"", ""720p"": ""225.34MB""}","<div style=""padding:56.16% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/679178673?h=3b4cb7b97e&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Neonatology,Growth&amp;amp;Development&amp;amp;Vaccination""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",1,1,1,"2022-02-18 15:30:18.516854","2022-02-25 11:22:30.084726",42
