video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link,created_at
875879616,sd,240p,video/mp4,426,240,240p,30,22738699,21.69MB,https://player.vimeo.com/progressive_redirect/playback/875879616/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=99b9705c8322b825fd561522beeb4c000d949eb43cc2ea9210b5d772e24b1498,2023-10-19T07:47:28+00:00
875879616,sd,360p,video/mp4,640,360,360p,30,27330616,26.06MB,https://player.vimeo.com/progressive_redirect/playback/875879616/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=411ba4ef3083279adb55d4384b2c88fdb866d084ac674a73920b1a96959f1428,2023-10-19T07:48:12+00:00
875879616,sd,540p,video/mp4,960,540,540p,30,35161459,33.53MB,https://player.vimeo.com/progressive_redirect/playback/875879616/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=0433605540e840176dc5cb4bf9ed8a9772bd00a3bb33a030c5abc27233a080b1,2023-10-19T07:47:48+00:00
875879616,hd,720p,video/mp4,1280,720,720p,30,41302342,39.39MB,https://player.vimeo.com/progressive_redirect/playback/875879616/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=0604a735ae9bc8115a68e0daa4de36b55a8d76ba1f9badfc83b639afb8de4f21,2023-10-19T07:47:55+00:00
875879616,hls,adaptive,video/mp4,,,240p,30,22738699,21.69MB,https://player.vimeo.com/external/875879616.m3u8?s=31f13b5e76d69c5389523981ff1b08a5269fd804&oauth2_token_id=1643955558,2023-10-19T07:47:28+00:00
875172731,sd,360p,video/mp4,640,360,360p,30,123072027,117.37MB,https://player.vimeo.com/progressive_redirect/playback/875172731/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=af4a50fd2ec0c5c9e91a44a904cd47bc94737738bdb80014f264758794ced62f,2023-10-17T14:16:53+00:00
875172731,sd,540p,video/mp4,960,540,540p,30,253509674,241.77MB,https://player.vimeo.com/progressive_redirect/playback/875172731/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=2eab861c61d04a5ad24e9b81ad3b2d2430639a4aea8497e0cbaa31818ff3b841,2023-10-17T14:16:54+00:00
875172731,sd,240p,video/mp4,426,240,240p,30,65759694,62.71MB,https://player.vimeo.com/progressive_redirect/playback/875172731/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=364ae0785a597ed8f98a56445049619ce4b1a8d8dfbfdd5352f01659548df32d,2023-10-17T14:16:54+00:00
875172731,hd,720p,video/mp4,1280,720,720p,30,335180320,319.65MB,https://player.vimeo.com/progressive_redirect/playback/875172731/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=d281da5142b6e602929e6b1196d0ac24c0a0e503a0b4167fa85ca479e3b10c49,2023-10-17T14:17:00+00:00
875172731,hls,adaptive,video/mp4,,,360p,30,123072027,117.37MB,https://player.vimeo.com/external/875172731.m3u8?s=10c7e255f650bf557dec78be7c6f2a11b57857bd&oauth2_token_id=1643955558,2023-10-17T14:16:53+00:00
