video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link
567502335,sd,360p,video/mp4,640,360,360p,30,50080712,47.76MB,https://player.vimeo.com/progressive_redirect/playback/567502335/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=1ce0577c01504dca108645f5dd417c39e921a8bb3bfad55dfe40e9d57871d04a
567502335,sd,540p,video/mp4,960,540,540p,30,95687351,91.25MB,https://player.vimeo.com/progressive_redirect/playback/567502335/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=fe0288851d9fe50e90f5157c7178572ec100873b7ee70457d9d09ac7992186ba
567502335,hd,1080p,video/mp4,1920,1080,1080p,30,139936127,133.45MB,https://player.vimeo.com/progressive_redirect/playback/567502335/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=60d3bcc663eb6a93d6fc97501bea3da293e0eefc643be3dac88f052b3145b992
567502335,hd,720p,video/mp4,1280,720,720p,30,109506833,104.43MB,https://player.vimeo.com/progressive_redirect/playback/567502335/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=1095677dfc885f3983acf7bf6b5d68a215c567d8608b26ab58311fdf7c64789f
567502335,hls,adaptive,video/mp4,,,360p,30,50080712,47.76MB,https://player.vimeo.com/external/567502335.m3u8?s=b9fc949b21e2defe61dd249e80d8ec5f8f8d44a2&oauth2_token_id=1643955558
570703559,sd,360p,video/mp4,640,360,360p,30,21767227,20.76MB,https://player.vimeo.com/progressive_redirect/playback/570703559/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=12b9372ae2ac2e112b732c6f094fe5f97515ac4071e6fe4ad8fb1780ff8bfcc5
570703559,hd,720p,video/mp4,1280,720,720p,30,47864153,45.65MB,https://player.vimeo.com/progressive_redirect/playback/570703559/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=2b5ca31920a4be6323e078bbe7e607b386dc737ff16cab0409844edbe71c4edb
570703559,hd,1080p,video/mp4,1920,1080,1080p,30,67143188,64.03MB,https://player.vimeo.com/progressive_redirect/playback/570703559/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=ad9653aafe618e609b9d3a41ee2a6d1559cb24506cec7be024e00d94b0f85425
570703559,sd,540p,video/mp4,960,540,540p,30,40509699,38.63MB,https://player.vimeo.com/progressive_redirect/playback/570703559/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c45b1fa4e87a057262bacee879929ddd918c02d025f0e077fd26007453fbd5ef
570703559,hls,adaptive,video/mp4,,,360p,30,21767227,20.76MB,https://player.vimeo.com/external/570703559.m3u8?s=8e955a5e14da70d4351610322a39026e88aeab2b&oauth2_token_id=1643955558
570705372,hd,720p,video/mp4,1280,720,720p,30,55831990,53.25MB,https://player.vimeo.com/progressive_redirect/playback/570705372/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=b80b3e5bc84f59e8e4e75d2f4b9f9303c5ef4a5e505010b870196d5450b4159e
570705372,sd,360p,video/mp4,640,360,360p,30,25697062,24.51MB,https://player.vimeo.com/progressive_redirect/playback/570705372/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=068af78f189c21b73bdc6ebf2e2eafb87a6d3b9e9bff479be6158e8ad04230d0
570705372,hd,1080p,video/mp4,1920,1080,1080p,30,75586477,72.08MB,https://player.vimeo.com/progressive_redirect/playback/570705372/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=b82ada644e944e9c68821769574b1e0a16faab122f895d228bb554b1f9b41819
570705372,sd,540p,video/mp4,960,540,540p,30,48280831,46.04MB,https://player.vimeo.com/progressive_redirect/playback/570705372/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=d6c5f6ddb474e46c3875efb0eba7427bbf79d545019be397d8df0239981ee61d
570705372,hls,adaptive,video/mp4,,,720p,30,55831990,53.25MB,https://player.vimeo.com/external/570705372.m3u8?s=e3d99859ac0cabeaa534479cb5f85537e9d77513&oauth2_token_id=1643955558
572565368,hd,720p,video/mp4,1280,720,720p,30,78470388,74.84MB,https://player.vimeo.com/progressive_redirect/playback/572565368/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=02c12a0806a95f599c8688a7956bfc4dcbda9fcf9ea39876aee21c08d169a9a7
572565368,sd,540p,video/mp4,960,540,540p,30,66318779,63.25MB,https://player.vimeo.com/progressive_redirect/playback/572565368/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=ae9c74c8ab426bcf274bc5d167ad5995ce38bf80363456da77c64c4da709a8ba
572565368,sd,360p,video/mp4,640,360,360p,30,35535038,33.89MB,https://player.vimeo.com/progressive_redirect/playback/572565368/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=601c9a3a706fa7674b9959f197a4a456e24948165af849f7bb82f1c449416b44
572565368,hd,1080p,video/mp4,1920,1080,1080p,30,110038529,104.94MB,https://player.vimeo.com/progressive_redirect/playback/572565368/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=2815e13087a415b53a0f2bb10c205f8270b0b35af42bb9f57662dafd463aa6e5
572565368,hls,adaptive,video/mp4,,,720p,30,78470388,74.84MB,https://player.vimeo.com/external/572565368.m3u8?s=568f4e7422f742bf4bb77e6b39c0087516c26114&oauth2_token_id=1643955558
573277050,sd,360p,video/mp4,640,360,360p,30,44729677,42.66MB,https://player.vimeo.com/progressive_redirect/playback/573277050/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=687cae77f05fc20faf2aec3304d268d53eaabaadaf015d23adf7054c0539f770
573277050,sd,540p,video/mp4,960,540,540p,30,82563310,78.74MB,https://player.vimeo.com/progressive_redirect/playback/573277050/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=a8e7d5a9ad49c73fc359e2012125ed10fc1a8677fcc85ccf15c91b086b4fa011
573277050,hd,720p,video/mp4,1280,720,720p,30,97399877,92.89MB,https://player.vimeo.com/progressive_redirect/playback/573277050/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=d5dae14b19f9b9964dbd8a711bc29488b7074dac1d6ebd3b77a80c4b15de60f3
